Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
Alto Qi,"Florianopolis, SC, Brazil",l2,Distributed Systems (Back-End),2  yrs,2  yrs,"R$54,000",54K | N/A | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",L2,Distributed Systems (Back-End),8  yrs,1  yr,"R$126,900",112.8K | 14.1K | N/A
Itau,"Sao Paulo, SP, Brazil",Senior,Data,9  yrs,7  yrs,"R$167,000",132K | N/A | 35K
John Deere,"Sao Paulo, SP, Brazil",Grade 8,Data,8  yrs,2  yrs,"R$260,000",260K | N/A | N/A
Apple,"Sao Paulo, SP, Brazil",ICT4,Testing (SDET),15  yrs,5  yrs,"R$280,000",240K | 40K | N/A
Anonymous,"Manaus, AM, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$48,000",48K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer I,Distributed Systems (Back-End),3  yrs,0  yrs,"R$271,058",204K | 34.9K | 32.2K
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$120,000",120K | N/A | N/A
Wind River Systems,"Sao Paulo, SP, Brazil",L3,Embedded Development,7  yrs,2  yrs,"R$334,134",334.1K | N/A | N/A
Philips,"Florianopolis, SC, Brazil",CG50,Full Stack,6  yrs,4  yrs,"R$90,000",90K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$195,000",180K | N/A | 15K
Loadsmart,"Rio de Janeiro, RJ, Brazil",L3,Site Reliability (SRE),7  yrs,3  yrs,"R$300,000",300K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC3,API Development (Back-End),3  yrs,1  yr,"R$72,000",72K | N/A | N/A
Santander Bank,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),25  yrs,5  yrs,"R$240,000",240K | N/A | N/A
Santander Bank,"Sao Paulo, SP, Brazil",L3,Data,1  yr,1  yr,"R$109,000",84K | N/A | 25K
Wildlife Studios,"Sao Paulo, SP, Brazil",L2,Game Development,1  yr,1  yr,"R$60,000",60K | N/A | N/A
Caju,"Sao Paulo, SP, Brazil",L3,Web Development (Front-End),2  yrs,2  yrs,"R$100,000",100K | N/A | N/A
NearForm,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),8  yrs,2  yrs,"R$654,209",654.2K | N/A | N/A
Coinbase,"Sao Paulo, SP, Brazil",IC4,Distributed Systems (Back-End),7  yrs,0  yrs,"R$545,700",329.2K | 200K | 16.5K
Bradesco,"Recife, PE, Brazil",pl,Full Stack,5  yrs,1  yr,"R$137,813",127.2K | N/A | 10.6K
Méliuz,"Brasilia, DF, Brazil",L1,Full Stack,3  yrs,3  yrs,"R$60,000",60K | N/A | N/A
Clubbi,"Rio de Janeiro, RJ, Brazil",Senior,API Development (Back-End),10  yrs,4  yrs,"R$200,000",200K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC6,API Development (Back-End),15  yrs,3  yrs,"R$435,825",300K | 117.8K | 18K
iFood,"Sao Paulo, SP, Brazil",N3,DevOps,9  yrs,2  yrs,"R$204,000",204K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Full Stack,4  yrs,3  yrs,"R$321,600",261.6K | 50K | 10K
DBC Company,"Porto Alegre, RS, Brazil",Senior,Distributed Systems (Back-End),8  yrs,6  yrs,"R$204,000",204K | N/A | N/A
Red Hat,"Sao Paulo, SP, Brazil",L2,Maintanence,7  yrs,3  yrs,"R$250,000",250K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$97,500",97.5K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",Advisory Engineer,Full Stack,10  yrs,2  yrs,"R$300,000",260K | 40K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$120,000",120K | N/A | N/A
Stefanini Group,"Sao Paulo, SP, Brazil",Tech Lead,Full Stack,8  yrs,0  yrs,"R$286,000",264K | N/A | 22K
Spassu,"Campo Grande, MS, Brazil",Pleno,API Development (Back-End),3  yrs,0  yrs,"R$113,000",113K | N/A | N/A
Frete.com,"Campo Grande, MS, Brazil",Pleno,API Development (Back-End),3  yrs,0  yrs,"R$70,000",70K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC4,ML / AI,3  yrs,0  yrs,"R$198,150",162K | 20K | 16.2K
luizalabs,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$210,000",210K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Software Engineer,Web Development (Front-End),5  yrs,2  yrs,"R$201,040",172.4K | N/A | 28.6K
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,API Development (Back-End),9  yrs,2  yrs,"R$237,000",222K | N/A | 15K
Paytrack,"Florianopolis, SC, Brazil",L3,Full Stack,7  yrs,3  yrs,"R$97,200",97.2K | N/A | N/A
Caylent,"Sao Paulo, SP, Brazil",L3,DevOps,5-10  yrs,5-10  yrs,"R$396,670",396.7K | N/A | N/A
Caju,"Sao Paulo, SP, Brazil",-,API Development (Back-End),9  yrs,1  yr,"R$180,000",180K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$396,670",396.7K | N/A | N/A
Collabora,"Sao Paulo, SP, Brazil",L4,DevOps,9  yrs,3  yrs,"R$332,800",332.8K | N/A | N/A
Banco do Brasil,"Brasilia, DF, Brazil",Jr,Distributed Systems (Back-End),5  yrs,1  yr,"R$132,400",92.4K | N/A | 40K
Nubank,"Rio de Janeiro, RJ, Brazil",IC5,N/A,14  yrs,2  yrs,"R$228,000",228K | N/A | N/A
Blue Coding,"Recife, PE, Brazil",-,API Development (Back-End),12  yrs,0  yrs,"R$375,995",376K | N/A | N/A
C6 Bank,"Sao Paulo, SP, Brazil",Senior Engineer,API Development (Back-End),10  yrs,3  yrs,"R$274,000",204K | N/A | 70K
Nubank,"Sao Paulo, SP, Brazil",IC4,API Development (Back-End),8  yrs,3  yrs,"R$153,600",153.6K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,7  yrs,3  yrs,"R$186,240",156K | 6.2K | 24K
Grupo Boticário,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),7  yrs,4  yrs,"R$168,000",138K | N/A | 30K
Geekie,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$110,584",97.6K | N/A | 13K
Uokeep,"Rio de Janeiro, RJ, Brazil",L4,Full Stack,8  yrs,1  yr,"R$427,978",428K | N/A | N/A
iFood,"Osasco, SP, Brazil",N1,N/A,8  yrs,2  yrs,"R$260,000",210K | N/A | 50K
Konsist Serviços ...,"Brasilia, DF, Brazil",Entry Level,Full Stack,2  yrs,2  yrs,"R$73,850",69.8K | 4.1K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$186,000",168K | N/A | 18K
Google,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),10  yrs,1  yr,"R$423,200",241.2K | 150K | 32K
Deel,"Goiania, GO, Brazil",Senior Software Engineer,API Development (Back-End),10  yrs,1  yr,"R$91,200",78K | 12K | 1.2K
Ryss,"Recife, PE, Brazil",-,Distributed Systems (Back-End),2  yrs,0  yrs,"R$80,000",80K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$66,000",16K | N/A | 50K
ArcTouch,"Florianopolis, SC, Brazil",L2,Full Stack,5  yrs,3  yrs,"R$186,228",186.2K | N/A | N/A
Microsoft,"Volta Redonda, RJ, Brazil",SDE,Distributed Systems (Back-End),1  yr,1  yr,"R$168,300",118.4K | 34K | 15.9K
PagBank PagSeguro,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),7  yrs,4  yrs,"R$142,000",132K | N/A | 10K
LeafLink,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),13  yrs,1  yr,"R$400,000",400K | N/A | N/A
Cadence Design Sy...,"Belo Horizonte, MG, Brazil",T2,Distributed Systems (Back-End),2  yrs,2  yrs,"R$139,535",120.5K | 7K | 12K
Test,"Sao Paulo, SP, Brazil",L4,Full Stack,10  yrs,0  yrs,"R$125,000",100K | 25K | N/A
Capgemini,"Salvador, BA, Brazil",A4,Mobile (iOS + Android),5  yrs,3  yrs,"R$89,856",89.9K | N/A | N/A
Serasa Experian,"Sao Paulo, SP, Brazil",I,Data,2  yrs,2  yrs,"R$54,000",54K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,6  yrs,4  yrs,"R$188,000",148K | 12K | 28K
BetaAcid,"Sao Paulo, SP, Brazil",Senior,Full Stack,13  yrs,1  yr,"R$421,754",421.8K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$41,100",41.1K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC7,Full Stack,20  yrs,2  yrs,"R$420,000",420K | N/A | N/A
Fundação para o D...,"Sao Paulo, SP, Brazil",B3,Web Development (Front-End),5  yrs,3  yrs,"R$139,608",134.8K | 4.8K | N/A
Cyral,"Sao Paulo, SP, Brazil",-,Web Development (Front-End),4  yrs,2  yrs,"R$42,000",42K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",technical  leader,-,11+  yrs,11+  yrs,"R$286,800",286.8K | N/A | N/A
IBM,"Campinas, SP, Brazil",Staff Engineer,Full Stack,5  yrs,3  yrs,"R$135,600",135.6K | N/A | N/A
Google,"Sao Paulo, SP, Brazil",L5,iOS,5  yrs,3  yrs,"R$390,000",350K | 40K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$115,200",115.2K | N/A | N/A
Hapvida-NDI,"Fortaleza, CE, Brazil",Senior,Full Stack,10  yrs,3  yrs,"R$216,000",216K | N/A | N/A
Apostala,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),5  yrs,1  yr,"R$180,000",180K | N/A | N/A
Nelogica,"Porto Alegre, RS, Brazil",L1,DevOps,3  yrs,0  yrs,"R$58,655",58.7K | N/A | N/A
Teramind,"Manaus, AM, Brazil",L3,Distributed Systems (Back-End),7  yrs,2  yrs,"R$312,722",296.3K | N/A | 16.5K
PicPay,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),7  yrs,3  yrs,"R$171,600",158.4K | N/A | 13.2K
BCG,"Sao Paulo, SP, Brazil",L1,Data,2  yrs,1  yr,"R$157,752",140.8K | N/A | 17K
FullStack Labs,"Sao Paulo, SP, Brazil",L2,Full Stack,6  yrs,2  yrs,"R$295,845",295.8K | N/A | N/A
Caju - Multibenef...,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),3  yrs,0  yrs,"R$114,000",114K | N/A | N/A
Grupo OLX,"Sao Paulo, SP, Brazil",Staff,Full Stack,10  yrs,3  yrs,"R$192,000",192K | N/A | N/A
Stone,"Rio de Janeiro, RJ, Brazil",Senior,Distributed Systems (Back-End),7  yrs,5  yrs,"R$320,000",230K | 40K | 50K
Nubank,"Sao Paulo, SP, Brazil",IC5,Distributed Systems (Back-End),7  yrs,3  yrs,"R$301,872",260K | 21.9K | 20K
Senior Sistemas,"Curitiba, PR, Brazil",Senior,API Development (Back-End),6  yrs,6  yrs,"R$144,000",144K | N/A | N/A
inPowered,"Campo Grande, MS, Brazil",Staff,API Development (Back-End),15  yrs,1  yr,"R$500,000",500K | N/A | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",Senior Software Engineer,Networking,6  yrs,6  yrs,"R$143,000",132K | N/A | 11K
Anonymous,"Sao Paulo, SP, Brazil",-,N/A,7  yrs,1  yr,"R$642,584",642.6K | N/A | N/A
Anonymous,"Brasilia, DF, Brazil",-,N/A,20  yrs,15  yrs,"R$300,000",300K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,5  yrs,4  yrs,"R$340,000",240K | 100K | N/A
Superlógica Tecno...,"Campinas, SP, Brazil",Mid,Full Stack,2  yrs,2  yrs,"R$61,998",62K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",SDE,Data,4  yrs,0  yrs,"R$250,387",140K | 96.4K | 14K
Millenium Brasil,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),8  yrs,1  yr,"R$163,200",163.2K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,3  yrs,0  yrs,"R$304,000",234K | 50K | 20K
CI&T,"Campinas, SP, Brazil",Junior,Full Stack,2  yrs,1  yr,"R$48,000",48K | N/A | N/A
Anonymous,"Joinville, SC, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$216,000",216K | N/A | N/A
Zippi,"Sao Paulo, SP, Brazil",L3,Full Stack,3  yrs,1  yr,"R$160,000",120K | 40K | N/A
RE Partners,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),7  yrs,1  yr,"R$541,794",541.8K | N/A | N/A
WithClutch,"Fortaleza, CE, Brazil",Senior AI Engineer,ML / AI,5  yrs,1  yr,"R$440,483",440.5K | N/A | N/A
Geekie,"Sao Paulo, SP, Brazil",Senior,Full Stack,4  yrs,4  yrs,"R$194,200",161.2K | N/A | 33K
isaac,"Sao Paulo, SP, Brazil",Mid Level,Full Stack,5  yrs,3  yrs,"R$175,500",175.5K | N/A | N/A
CI&T,"Campinas, SP, Brazil",Senior,API Development (Back-End),11  yrs,9  yrs,"R$188,000",186K | N/A | 2K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$288,480",233K | N/A | 55.5K
Anonymous,"Manaus, AM, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$111,600",99.6K | N/A | 12K
XP,"Sao Paulo, SP, Brazil",Software Engineer III,Distributed Systems (Back-End),4  yrs,2  yrs,"R$166,000",97K | N/A | 69K
Anonymous,"Salvador, BA, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$72,000",72K | N/A | N/A
Fretebras,"Sao Paulo, SP, Brazil",Junior Staff Engineer,Distributed Systems (Back-End),8  yrs,3  yrs,"R$203,000",188.5K | N/A | 14.5K
Anonymous,"Brasilia, DF, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$737,346",737.3K | N/A | N/A
Anonymous,"Uberlandia, MG, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$36,936",36.9K | N/A | N/A
Dotdash Meredith,"Belo Horizonte, MG, Brazil",Mid,DevOps,7  yrs,1  yr,"R$382,946",382.9K | N/A | N/A
Cloudbeds,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),20  yrs,1  yr,"R$325,000",300K | N/A | 25K
Mercado Libre,"Osasco, SP, Brazil",Software Engineer,Distributed Systems (Back-End),5  yrs,2  yrs,"R$204,000",190K | N/A | 14K
Senior Sistemas,"Joinville, SC, Brazil",-,Full Stack,1  yr,1  yr,"R$44,808",38.8K | N/A | 6K
Microsoft,"Campinas, SP, Brazil",SDE II,API Development (Back-End),6  yrs,2  yrs,"R$307,000",189K | 100K | 18K
Bry Tecnologia,"Florianopolis, SC, Brazil",Junior,General SWE,3  yrs,2  yrs,"R$69,600",69.6K | N/A | N/A
Claro,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),6  yrs,2  yrs,"R$100,800",100.8K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",Associate Engineer,Distributed Systems (Back-End),2  yrs,2  yrs,"R$48,000",48K | N/A | N/A
Bradesco,"Sao Paulo, SP, Brazil",-,Site Reliability (SRE),6  yrs,4  yrs,"R$122,400",122.4K | N/A | N/A
Escola DNC,"Sao Jose dos Campos, SP, Brazil",-,DevOps,12  yrs,3  yrs,"R$91,700",81.6K | N/A | 10.1K
Compass Uol,"Passo Fundo, RS, Brazil",Senior,Web Development (Front-End),6  yrs,6  yrs,"R$122,000",110.5K | N/A | 11.5K
Pixida,"Joinville, SC, Brazil",L3,DevOps,3  yrs,1  yr,"R$163,200",163.2K | N/A | N/A
Anonymous,"Brasilia, DF, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$174,720",174.7K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$78,000",78K | N/A | N/A
Zup Innovation,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),3  yrs,3  yrs,"R$111,600",111.6K | N/A | N/A
PicPay,"Recife, PE, Brazil",Senior Site Reliability Engineer,Site Reliability (SRE),7  yrs,1  yr,"R$208,000",192K | N/A | 16K
IBM,"Sao Paulo, SP, Brazil",Senior Engineer,Security,15  yrs,15  yrs,"R$372,000",372K | N/A | N/A
Apicbase,"Rio de Janeiro, RJ, Brazil",Junior,Full Stack,3  yrs,3  yrs,"R$173,082",173.1K | N/A | N/A
Anonymous,"Belo Horizonte, MG, Brazil",N/A,N/A,0-1  yrs,0-1  yrs,"R$100,000",96K | N/A | 4K
Brex,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),14  yrs,1  yr,"R$720,001",720K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",L1,Data,2  yrs,1  yr,"R$116,000",+R$500
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$443,366",432.9K | 10.4K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$180,000",180K | N/A | N/A
Trustly,"Rio de Janeiro, RJ, Brazil",P3,Full Stack,2  yrs,2  yrs,"R$84,504",72.5K | N/A | 12K
Mercado Libre,"Osasco, SP, Brazil",Senior Software Engineer,Full Stack,6  yrs,1  yr,"R$217,750",201K | N/A | 16.7K
Blue Orange Digital,"Sao Carlos, SP, Brazil",-,Distributed Systems (Back-End),7  yrs,1  yr,"R$608,818",608.8K | N/A | N/A
Ingram Micro,"Sao Paulo, SP, Brazil",Senior Software Engineer,Data,15  yrs,7  yrs,"R$102,000",102K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Software Engineer,Full Stack,7  yrs,1  yr,"R$195,000",180K | 15K | N/A
Google,"Sao Paulo, SP, Brazil",L3,Full Stack,1  yr,0  yrs,"R$273,532",168K | 80.3K | 25.2K
Juros Baixos,"Sao Paulo, SP, Brazil",Junior,API Development (Back-End),3  yrs,3  yrs,"R$72,000",72K | N/A | N/A
Brex,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),5  yrs,1  yr,"R$780,000",780K | N/A | N/A
CI&T,"Campinas, SP, Brazil",Senior,Full Stack,6  yrs,1  yr,"R$120,000",120K | N/A | N/A
Amor saude,"Ribeirao Preto, SP, Brazil",Junior,Full Stack,1  yr,1  yr,"R$36,000",36K | N/A | N/A
Framework,"Belo Horizonte, MG, Brazil",Entry Level,Web Development (Front-End),3  yrs,3  yrs,"R$32,000",32K | N/A | N/A
Globant,"Sao Paulo, SP, Brazil",Senior 2,Android,5  yrs,2  yrs,"R$194,500",174K | 6K | 14.5K
Google,"Sao Paulo, SP, Brazil",L1,Android,1  yr,1  yr,"R$120,000",120K | N/A | N/A
Object Edge,"Porto Alegre, RS, Brazil",L3,Web Development (Front-End),5  yrs,3  yrs,"R$111,000",96K | N/A | 15K
Intive,"Sao Paulo, SP, Brazil",L5,API Development (Back-End),12  yrs,1  yr,"R$375,088",375.1K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Distributed Systems (Back-End),5  yrs,3  yrs,"R$377,972",271.6K | 88.2K | 18.1K
Itau,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$300,000",240K | N/A | 60K
GFT Group,"Curitiba, PR, Brazil",Senior Software Engineer,API Development (Back-End),7  yrs,5  yrs,"R$150,000",150K | N/A | N/A
Deel,"Porto Alegre, RS, Brazil",Senior Software Engineer,Distributed Systems (Back-End),10  yrs,2  yrs,"R$505,000",480K | 25K | N/A
Anonymous,"Santos, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$60,000",60K | N/A | N/A
Quinto Andar,"Sao Paulo, SP, Brazil",L3,Full Stack,5-10  yrs,5-10  yrs,"R$228,000",198K | N/A | 30K
SICPA,"Rio de Janeiro, RJ, Brazil",L3,Full Stack,4  yrs,2  yrs,"R$132,000",132K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$96,000",96K | N/A | N/A
Google,"Sao Paulo, SP, Brazil",L3,Android,7  yrs,0  yrs,"R$230,000",230K | N/A | N/A
Allied,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),5  yrs,2  yrs,"R$180,000",180K | N/A | N/A
MPT,"Brasilia, DF, Brazil",Senior,Data,18  yrs,10  yrs,"R$300,000",300K | N/A | N/A
Trakto,"Maceio, AL, Brazil",Senior,Distributed Systems (Back-End),15  yrs,8  yrs,"R$122,000",122K | N/A | N/A
Trakto,"Maceio, AL, Brazil",Senior,Distributed Systems (Back-End),15  yrs,8  yrs,"R$122,400",122.4K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),8  yrs,2  yrs,"R$244,400",225.6K | N/A | 18.8K
Sermo,"Sao Paulo, SP, Brazil",Junior,Data,3  yrs,0  yrs,"R$228,000",228K | N/A | N/A
Anonymous,"Maceio, AL, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$51,840",51.8K | N/A | N/A
kea,"Brasilia, DF, Brazil",L2,-,8  yrs,4  yrs,"R$488,739",488.7K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L3,Data,0  yrs,0  yrs,"R$243,405",160K | 83.4K | N/A
Orbee,"Sao Carlos, SP, Brazil",-,DevOps,5  yrs,3  yrs,"R$121,237",121.2K | N/A | N/A
DCC,"Belo Horizonte, MG, Brazil",-,Data,5  yrs,2  yrs,"R$9,360",9.4K | N/A | N/A
Mindera,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),20  yrs,2  yrs,"R$383,916",383.9K | N/A | N/A
Pagar.me,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),6  yrs,3  yrs,"R$145,600",145.6K | N/A | N/A
Varsity Tutors,"Sao Paulo, SP, Brazil",L5,Production,8  yrs,1  yr,"R$500,377",500.4K | N/A | N/A
Buzzlabs,"Sao Paulo, SP, Brazil",-,Full Stack,5  yrs,1  yr,"R$156,000",156K | N/A | N/A
Payzen,"Belo Horizonte, MG, Brazil",Mid Level,Full Stack,5  yrs,2  yrs,"R$406,836",406.8K | N/A | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",L5,Full Stack,13  yrs,6  yrs,"R$173,000",156K | 17K | N/A
Itau,"Sao Paulo, SP, Brazil",Mid Level,Distributed Systems (Back-End),3  yrs,3  yrs,"R$128,000",108K | N/A | 20K
GFT Group,"Sao Paulo, SP, Brazil",Software Engineer,API Development (Back-End),4  yrs,1  yr,"R$78,000",78K | N/A | N/A
iFood,"Osasco, SP, Brazil",I13,API Development (Back-End),5  yrs,0  yrs,"R$168,000",168K | N/A | N/A
Pitang,"Recife, PE, Brazil",Senior,API Development (Back-End),19  yrs,1  yr,"R$176,628",176.6K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",62,Distributed Systems (Back-End),7  yrs,3  yrs,"R$240,000",200K | 40K | N/A
Clevertech,"Sao Paulo, SP, Brazil",Senior,Full Stack,12  yrs,1  yr,"R$406,441",406.4K | N/A | N/A
Hotel Engine,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),11+  yrs,11+  yrs,"R$110,000",110K | N/A | N/A
Comm.tec,"Sao Paulo, SP, Brazil",L3,Web Development (Front-End),0  yrs,0  yrs,"R$13,200",13.2K | N/A | N/A
Anonymous,"Curitiba, PR, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$135,000",120K | N/A | 15K
