Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
Anonymous,"Sao Jose dos Campos, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$140,000",140K | N/A | N/A
Anonymous,"Bauru, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$74,600",54.6K | N/A | 20K
BEJS,"Rio de Janeiro, RJ, Brazil",4,Networking,1  yr,1  yr,"R$90,000",90K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",technical  leader,Distributed Systems (Back-End),10  yrs,2  yrs,"R$271,000",237K | N/A | 34K
ThoughtWorks,"Belo Horizonte, MG, Brazil",Lead Consultant,Full Stack,14  yrs,6  yrs,"R$286,000",286K | N/A | N/A
ThoughtWorks,"Recife, PE, Brazil",Consultant,Full Stack,4  yrs,3  yrs,"R$90,000",90K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),5  yrs,1  yr,"R$252,200",232.8K | N/A | 19.4K
Santander Bank,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),4  yrs,3  yrs,"R$108,000",108K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Data,10  yrs,3  yrs,"R$372,127",253.4K | 100.7K | 18K
KnowBe4,"Sao Paulo, SP, Brazil",Staff,Full Stack,10  yrs,2  yrs,"R$568,364",557.2K | N/A | 11.1K
Loggi,"Sao Paulo, SP, Brazil",Senior,Full Stack,5  yrs,5  yrs,"R$240,000",180K | 30K | 30K
Sodexo,"1Vitoria, ES, Brazil",L3,Full Stack,6  yrs,1  yr,"R$240,000",240K | N/A | N/A
FAB,"Rio de Janeiro, RJ, Brazil",Senior,Full Stack,14  yrs,14  yrs,"R$125,000",85K | 40K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$90,000",90K | N/A | N/A
DBCompany,"Porto Alegre, RS, Brazil",-,Testing (SDET),1  yr,1  yr,"R$37,200",37.2K | N/A | N/A
The Chamber of De...,"Brasilia, DF, Brazil",L3,Full Stack,10  yrs,1  yr,"R$400,000",400K | N/A | N/A
NoRedInk,"Osasco, SP, Brazil",Software Engineer II,Full Stack,7  yrs,2  yrs,"R$654,161",654.2K | N/A | N/A
Zwift,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$400,000",400K | N/A | N/A
Café,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),5  yrs,3  yrs,"R$192,000",192K | N/A | N/A
Bradesco,"Sao Paulo, SP, Brazil",Senior,Full Stack,4  yrs,0  yrs,"R$266,000",227.5K | N/A | 38.5K
Nubank,"Sao Paulo, SP, Brazil",IC4,Distributed Systems (Back-End),3  yrs,2  yrs,"R$227,582",144K | 83.6K | N/A
Avanade,"Recife, PE, Brazil",Consultant,API Development (Back-End),15  yrs,3  yrs,"R$156,000",156K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$216,000",216K | N/A | N/A
Artefact,"Sao Paulo, SP, Brazil",III,Data,3  yrs,2  yrs,"R$120,900",111.6K | N/A | 9.3K
Alice,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$223,000",223K | N/A | N/A
SGD,"Brasilia, DF, Brazil",L2,DevOps,7  yrs,3  yrs,"R$150,000",150K | N/A | N/A
Banco do Brasil,"Brasilia, DF, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$198,600",123.6K | N/A | 75K
Toptal,"Teresina, PI, Brazil",Senior Software Engineer,Backend,13  yrs,2  yrs,"R$406,952",407K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",Senior,-,4  yrs,4  yrs,"R$184,085",164.1K | N/A | 20K
iFood,"Campinas, SP, Brazil",I11,API Development (Back-End),3  yrs,3  yrs,"R$124,800",115.2K | N/A | 9.6K
MessageBird,"Recife, PE, Brazil",Senior,Web Development (Front-End),7  yrs,0  yrs,"R$450,000",450K | N/A | N/A
Serpro,"Sao Paulo, SP, Brazil",Classe 1,Distributed Systems (Back-End),7  yrs,0  yrs,"R$113,583",98.8K | N/A | 14.8K
Mindbody,"Belo Horizonte, MG, Brazil",L3,Distributed Systems (Back-End),15  yrs,1  yr,"R$626,543",626.5K | N/A | N/A
Dell Technologies,"Sao Paulo, SP, Brazil",Principal Engineer,ML / AI,6  yrs,1  yr,"R$350,000",300K | N/A | 50K
Zenklub,"Sao Paulo, SP, Brazil",III,Web Development (Front-End),7  yrs,3  yrs,"R$122,400",122.4K | N/A | N/A
KnowBe4,"Sao Paulo, SP, Brazil",L2,Full Stack,4  yrs,4  yrs,"R$323,077",323.1K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE III,API Development (Back-End),8  yrs,5  yrs,"R$497,000",360K | 137K | N/A
AgileEngine,"Sao Paulo, SP, Brazil",Senior,N/A,5-10  yrs,5-10  yrs,"R$395,253",395.3K | N/A | N/A
AMcom,"Sao Paulo, SP, Brazil",L3,Desktop,5  yrs,1  yr,"R$110,400",110.4K | N/A | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",Mid,Distributed Systems (Back-End),7  yrs,2  yrs,"R$104,600",93.6K | N/A | 11K
DB Server,"Porto Alegre, RS, Brazil",L3,API Development (Back-End),13  yrs,2  yrs,"R$160,800",160.8K | N/A | N/A
Robbin,"Sao Paulo, SP, Brazil",Senior,Data,6  yrs,0  yrs,"R$144,000",144K | N/A | N/A
TPV,"Manaus, AM, Brazil",Researcher 4,Embedded,8  yrs,2  yrs,"R$214,211",197.7K | N/A | 16.5K
Hotel Engine,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),7  yrs,1  yr,"R$516,753",516.8K | N/A | N/A
Ioasys,"Belo Horizonte, MG, Brazil",L2,Web Development (Front-End),4  yrs,0  yrs,"R$60,000",60K | N/A | N/A
Capgemini,"Sao Paulo, SP, Brazil",B2,Full Stack,4  yrs,1  yr,"R$12,000",12K | N/A | N/A
Anonymous,"Brasilia, DF, Brazil",-,N/A,7  yrs,3  yrs,"R$529,846",529.8K | N/A | N/A
PicPay,"Sao Paulo, SP, Brazil",L3,Data,5  yrs,3  yrs,"R$140,000",140K | N/A | N/A
Capgemini,"Rio de Janeiro, RJ, Brazil",A5,Full Stack,9  yrs,3  yrs,"R$131,554",131.6K | N/A | N/A
Anonymous,"Campinas, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$83,030",75.5K | N/A | 7.5K
Itau,"Sao Paulo, SP, Brazil",L1,Full Stack,3  yrs,1  yr,"R$114,000",84K | N/A | 30K
JAYA,"Recife, PE, Brazil",L3,Web Development (Front-End),14  yrs,3  yrs,"R$440,000",440K | N/A | N/A
OLX Group,"Rio de Janeiro, RJ, Brazil",L3,Distributed Systems (Back-End),10  yrs,2  yrs,"R$169,700",154.2K | N/A | 15.5K
Facebook,"Sao Paulo, SP, Brazil",E4,API Development (Back-End),4  yrs,4  yrs,"R$857,141",416K | 379.1K | 62K
iFood,"Campinas, SP, Brazil",N1,Distributed Systems (Back-End),8  yrs,4  yrs,"R$280,000",240K | N/A | 40K
Cadence Design Sy...,"Belo Horizonte, MG, Brazil",Lead Software Engineer,Full Stack,16  yrs,4  yrs,"R$192,899",192.9K | N/A | N/A
Anonymous,"Porto Alegre, RS, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$410,399",410.4K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$62,160",62.2K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,API Development (Back-End),5  yrs,3  yrs,"R$377,800",271.6K | 88.2K | 18K
Amazon,"Sao Paulo, SP, Brazil",SDE III,Distributed Systems (Back-End),10  yrs,6  yrs,"R$584,000",384K | 200K | N/A
DB,"Porto Alegre, RS, Brazil",L3,API Development (Back-End),13  yrs,1  yr,"R$160,800",160.8K | N/A | N/A
Inmetrics,"Sao Paulo, SP, Brazil",L3,Full Stack,4  yrs,2  yrs,"R$91,200",91.2K | N/A | N/A
Cadence Design Sy...,"Belo Horizonte, MG, Brazil",Software Engineer I,Distributed Systems (Back-End),4  yrs,2  yrs,"R$113,200",103.2K | N/A | 10K
AgileEngine,"Sao Paulo, SP, Brazil",Senior,N/A,5-10  yrs,5-10  yrs,"R$479,440",479.4K | N/A | N/A
Loadsmart,"Sao Paulo, SP, Brazil",L2,N/A,5-10  yrs,5-10  yrs,"R$382,014",382K | N/A | N/A
DB1 Group,"Maringa, PR, Brazil",L3,Full Stack,1  yr,1  yr,"R$48,000",48K | N/A | N/A
Red Spark,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),18  yrs,2  yrs,"R$166,800",166.8K | N/A | N/A
Yampi,"Sao Paulo, SP, Brazil",-,Web Development (Front-End),7  yrs,1  yr,"R$120,000",120K | N/A | N/A
Dti Digital,"Belo Horizonte, MG, Brazil",Mid Level,Full Stack,3  yrs,2  yrs,"R$74,400",74.4K | N/A | N/A
Correios,"Brasilia, DF, Brazil",Senior Software Engineer,Full Stack,25  yrs,20  yrs,"R$450,000",216K | 234K | N/A
Cartao Elo,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),5  yrs,2  yrs,"R$121,000",121K | N/A | N/A
Esferas Software,"Sao Paulo, SP, Brazil",Pleno,Full Stack,2  yrs,2  yrs,"R$62,400",62.4K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Data,20  yrs,2  yrs,"R$410,000",330K | 80K | N/A
Nubank,"Sao Paulo, SP, Brazil",IC8,Full Stack,18  yrs,7  yrs,"R$1,412,050",781.4K | 612.6K | 18.1K
SulAmérica,"Sao Paulo, SP, Brazil",Staff,Mobile (iOS + Android),6  yrs,1  yr,"R$233,000",192K | N/A | 41K
Serasa Experian,"Sao Paulo, SP, Brazil",L3,Site Reliability (SRE),5  yrs,1  yr,"R$205,000",180K | 25K | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,Data,4  yrs,0  yrs,"R$431,430",324.9K | 50.9K | 55.7K
Anonymous,"Recife, PE, Brazil",-,N/A,3  yrs,1  yr,"R$169,000",169K | N/A | N/A
Zup Innovation,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$135,020",135K | N/A | N/A
Sardine,"Sao Paulo, SP, Brazil",Software Engineer,API Development (Back-End),11  yrs,0  yrs,"R$533,567",393.2K | 140.4K | N/A
BairesDev,"Rio de Janeiro, RJ, Brazil",Junior Software Engineer,Web Development (Front-End),2  yrs,0  yrs,"R$120,000",120K | N/A | N/A
Intelligent Audit,"Sao Paulo, SP, Brazil",L3,ML / AI,5  yrs,0  yrs,"R$541,171",541.2K | N/A | N/A
Anonymous,"Campinas, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$126,000",114K | N/A | 12K
Efí,"Belo Horizonte, MG, Brazil",L1,Distributed Systems (Back-End),5  yrs,3  yrs,"R$97,788",96.6K | 1.2K | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,API Development (Back-End),7  yrs,3  yrs,"R$252,000",190K | 50K | 12K
Nuvemshop,"Sao Paulo, SP, Brazil",Mid Level,Full Stack,5  yrs,2  yrs,"R$96,000",96K | N/A | N/A
Ringba,"Florianopolis, SC, Brazil",Principal,Distributed Systems (Back-End),10  yrs,3  yrs,"R$544,184",462.2K | N/A | 82K
Anheuser-Busch InBev,"Sao Paulo, SP, Brazil",Senior,"Rockwell, Siemens",13  yrs,11  yrs,"R$113,500",110K | N/A | 3.5K
GFT Group,"Sao Paulo, SP, Brazil",L4,Web Development (Front-End),7  yrs,4  yrs,"R$171,600",171.6K | N/A | N/A
ThoughtWorks,"Sao Paulo, SP, Brazil",Senior Consultant,Distributed Systems (Back-End),6  yrs,0  yrs,"R$182,000",182K | N/A | N/A
Globant,"Sao Paulo, SP, Brazil",Junior Advanced,Blockchain,3  yrs,2  yrs,"R$111,600",111.6K | N/A | N/A
Fetchly Labs,"Rio de Janeiro, RJ, Brazil",Mid,API Development (Back-End),4  yrs,2  yrs,"R$144,000",144K | N/A | N/A
Google,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),2  yrs,1  yr,"R$315,800",172K | 118K | 25.8K
Anonymous,"Manaus, AM, Brazil",-,N/A,5  yrs,0  yrs,"R$168,000",168K | N/A | N/A
HashiCorp,"Porto Alegre, RS, Brazil",L2,API Development (Back-End),7  yrs,2  yrs,"R$425,323",290.5K | 134.8K | N/A
Accenture,"Sao Paulo, SP, Brazil",Team Leader,Data,7  yrs,3  yrs,"R$140,000",140K | N/A | N/A
iFood,"Sao Paulo, SP, Brazil",I14,API Development (Back-End),11  yrs,0  yrs,"R$246,500",204K | N/A | 42.5K
Americanas,"Rio de Janeiro, RJ, Brazil",Mid,Data,4  yrs,4  yrs,"R$105,196",105.2K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$120,000",120K | N/A | N/A
Bemobi,"Rio de Janeiro, RJ, Brazil",Pleno,Distributed Systems (Back-End),6  yrs,2  yrs,"R$130,000",120K | N/A | 10K
Google,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),3  yrs,0  yrs,"R$293,938",168K | 100.7K | 25.2K
Vericode,"Sao Paulo, SP, Brazil",-,Full Stack,3  yrs,2  yrs,"R$52,856",50.9K | N/A | 2K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$110,400",110.4K | N/A | N/A
Inter,"Recife, PE, Brazil",Dev II,API Development (Back-End),5  yrs,3  yrs,"R$102,000",102K | N/A | N/A
Anonymous,"Porto Alegre, RS, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$126,000",108K | N/A | 18K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$839,526",544.1K | 213.8K | 81.6K
Timescale,"Juiz de For a, MG, Brazil",Senior,Web Development (Front-End),6  yrs,0  yrs,"R$384,816",384.8K | N/A | N/A
Cogna,"Sao Paulo, SP, Brazil",Junior,Full Stack,3  yrs,3  yrs,"R$36,000",36K | N/A | N/A
Stoneco,"Sao Paulo, SP, Brazil",L2,API Development (Back-End),6  yrs,1  yr,"R$96,000",96K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC6,Data,3  yrs,0  yrs,"R$232,667",216K | 16.7K | N/A
CNN Brasil,"Sao Paulo, SP, Brazil",L1,Testing (SDET),2  yrs,1  yr,"R$62,000",62K | N/A | N/A
Neon,"Sao Paulo, SP, Brazil",L6,API Development (Back-End),13  yrs,4  yrs,"R$675,350",360K | 165.3K | 150K
NTT DATA,"Salvador, BA, Brazil",Senior Software Engineer,Android,4  yrs,2  yrs,"R$104,400",104.4K | N/A | N/A
Quinto Andar,"Sao Paulo, SP, Brazil",2,ML / AI,4  yrs,2  yrs,"R$140,000",120K | N/A | 20K
Grupo Boticário,"Sao Paulo, SP, Brazil",Senior,Full Stack,7  yrs,2  yrs,"R$162,000",132K | N/A | 30K
Deloitte,"Recife, PE, Brazil",L1,SAP,1  yr,1  yr,"R$18,240",18.2K | N/A | N/A
Anonymous,"Belo Horizonte, MG, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$300,000",+R$10K
Magalu,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),3  yrs,3  yrs,"R$161,500",150K | N/A | 11.5K
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),4  yrs,2  yrs,"R$279,080",199.1K | 80K | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Software Engineer,Distributed Systems (Back-End),3  yrs,1  yr,"R$163,240",151.6K | N/A | 11.7K
iFood,"Osasco, SP, Brazil",I14,Distributed Systems (Back-End),6  yrs,2  yrs,"R$214,552",171.6K | N/A | 43K
Microsoft,"Sao Luis, MA, Brazil",62,Android,5  yrs,2  yrs,"R$406,210",213.5K | 170.5K | 22.2K
Grupo Boticario,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$300,000",300K | N/A | N/A
Dell Technologies,"Sao Paulo, SP, Brazil",Software Engineer II,Data,2  yrs,0  yrs,"R$120,000",120K | N/A | N/A
Loggi,"Sao Paulo, SP, Brazil",L3,N/A,5-10  yrs,5-10  yrs,"R$168,000",168K | N/A | N/A
PUCPR,"Curitiba, PR, Brazil",Junior,Web Development (Front-End),1  yr,0  yrs,"R$24,000",24K | N/A | N/A
PagBank,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),9  yrs,4  yrs,"R$148,760",128.8K | N/A | 20K
CI&T,"Campinas, SP, Brazil",Senior,Testing (SDET),6  yrs,1  yr,"R$127,200",127.2K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE I,Full Stack,4  yrs,3  yrs,"R$195,600",105.6K | 60K | 30K
PicPay,"Sao Paulo, SP, Brazil",L3,Site Reliability (SRE),11  yrs,1  yr,"R$1,092,001",252K | N/A | 840K
Target Data Exper...,"Joinville, SC, Brazil",L3,Data,3  yrs,1  yr,"R$146,200",135.2K | N/A | 11K
Ramifica Tech,"Recife, PE, Brazil",L3,API Development (Back-End),7  yrs,3  yrs,"R$360,000",360K | N/A | N/A
RDI Software,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),8  yrs,1  yr,"R$175,740",175.7K | N/A | N/A
Tamborine,"Belo Horizonte, MG, Brazil",L1,Distributed Systems (Back-End),4  yrs,1  yr,"R$62,400",62.4K | N/A | N/A
Arado,"Sao Paulo, SP, Brazil",Mid Level,API Development (Back-End),4  yrs,2  yrs,"R$130,000",130K | N/A | N/A
Anonymous,"Rio de Janeiro, RJ, Brazil",-,N/A,5  yrs,5  yrs,"R$54,000",54K | N/A | N/A
Stake Together,"Belo Horizonte, MG, Brazil",L4,Full Stack,15  yrs,2  yrs,"R$514,291",514.3K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$173,482",173.5K | N/A | N/A
SysOut Soluções I...,"Goiania, GO, Brazil",-,Full Stack,3  yrs,3  yrs,"R$74,400",74.4K | N/A | N/A
Quinto Andar,"Belo Horizonte, MG, Brazil",2,ML / AI,3  yrs,1  yr,"R$166,000",144K | N/A | 22K
HPE,"Porto Alegre, RS, Brazil",Intermediate,Full Stack,3  yrs,3  yrs,"R$105,491",91.3K | 10.7K | 3.5K
NEC,"Sao Paulo, SP, Brazil",L4,-,14  yrs,14  yrs,"R$330,000",330K | N/A | N/A
PacificSec,"Belo Horizonte, MG, Brazil",Junior,Full Stack,4  yrs,4  yrs,"R$57,600",57.6K | N/A | N/A
Bybit,"Rio de Janeiro, RJ, Brazil",L4,ML / AI,8  yrs,5  yrs,"R$174,000",134K | 40K | N/A
iFood,"Sao Paulo, SP, Brazil",I14,Site Reliability (SRE),4  yrs,1  yr,"R$174,000",174K | N/A | N/A
Quinto Andar,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$302,000",240K | N/A | 62K
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,15  yrs,5  yrs,"R$460,568",270K | 190.6K | N/A
FIT,"Sorocaba, SP, Brazil",L4,API Development (Back-End),7  yrs,7  yrs,"R$206,000",206K | N/A | N/A
Compass,"Sao Paulo, SP, Brazil",IC3,API Development (Back-End),5  yrs,1  yr,"R$124,000",120K | N/A | 4K
ThoughtWorks,"Recife, PE, Brazil",Senior Consultant,Full Stack,8  yrs,3  yrs,"R$156,000",156K | N/A | N/A
C6 Bank,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),10  yrs,4  yrs,"R$310,000",240K | N/A | 70K
Origin Financial,"Sao Paulo, SP, Brazil",Senior,Web Development (Front-End),10  yrs,3  yrs,"R$366,125",366.1K | N/A | N/A
Jusbrasil,"Belo Horizonte, MG, Brazil",L6,Distributed Systems (Back-End),4  yrs,2  yrs,"R$827,083",456K | 257.1K | 114K
SYDLE,"Belo Horizonte, MG, Brazil",Trainee L3,ML / AI,3  yrs,3  yrs,"R$47,000",42K | N/A | 5K
IBM,"Sao Paulo, SP, Brazil",Associate Engineer,Mobile (iOS + Android),3  yrs,2  yrs,"R$48,000",48K | N/A | N/A
Softplan,"Florianopolis, SC, Brazil",L2,Full Stack,7  yrs,2  yrs,"R$128,500",120K | N/A | 8.5K
Nubank,"Sao Paulo, SP, Brazil",IC7,ML / AI,11  yrs,4  yrs,"R$755,500",607.5K | 130K | 18K
Anonymous,"Porto Alegre, RS, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$42,000",42K | N/A | N/A
Globant,"Sao Paulo, SP, Brazil",Semi Senior,Web Development (Front-End),7  yrs,3  yrs,"R$69,600",69.6K | N/A | N/A
StudentFinance,"Brasilia, DF, Brazil",Senior,Full Stack,7  yrs,2  yrs,"R$350,000",300K | 50K | N/A
CIT,"Belo Horizonte, MG, Brazil",L3,Data,4  yrs,4  yrs,"R$96,000",96K | N/A | N/A
Comercial Zaffari,"Passo Fundo, RS, Brazil",Mid Level,API Development (Back-End),5  yrs,0  yrs,"R$72,000",72K | N/A | N/A
BairesDev,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$108,000",108K | N/A | N/A
Brex,"Sao Paulo, SP, Brazil",Senior Software Engineer,Web Development (Front-End),7  yrs,0  yrs,"R$707,999",708K | N/A | N/A
iFood,"Sao Paulo, SP, Brazil",I11,Distributed Systems (Back-End),3  yrs,0  yrs,"R$117,600",117.6K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Senior Software Engineer,API Development (Back-End),18  yrs,2  yrs,"R$1,013,000",533K | 400K | 80K
Anonymous,"Campinas, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$106,500",89.7K | N/A | 16.8K
Nubank,"Sao Paulo, SP, Brazil",IC5,Full Stack,10  yrs,3  yrs,"R$372,000",260K | 94K | 18K
Sticker Mule,"Sao Paulo, SP, Brazil",Senior,ML / AI,5  yrs,2  yrs,"R$619,548",619.5K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE I,Full Stack,4  yrs,2  yrs,"R$193,022",124.3K | 68.7K | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",Senior,iOS,7  yrs,6  yrs,"R$174,000",156K | N/A | 18K
iFood,"Sao Paulo, SP, Brazil",I14,Distributed Systems (Back-End),3  yrs,2  yrs,"R$207,600",177.6K | N/A | 30K
Amazon,"Sao Paulo, SP, Brazil",SDE I,Full Stack,4  yrs,2  yrs,"R$214,250",123K | 85K | 6.3K
Quinto Andar,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$105,600",105.6K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),5  yrs,0  yrs,"R$278,000",228K | 50K | N/A
Google,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),2  yrs,0  yrs,"R$403,000",262K | 113.5K | 27.5K
Mercado Libre,"Brasilia, DF, Brazil",Software Engineer,Full Stack,3  yrs,3  yrs,"R$180,873",168.3K | N/A | 12.6K
The RealReal,"Sao Paulo, SP, Brazil",L2,Mobile (iOS + Android),7  yrs,2  yrs,"R$540,000",540K | N/A | N/A
Google,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),12  yrs,0  yrs,"R$436,582",262K | 113.8K | 60.8K
Google,"Belo Horizonte, MG, Brazil",L5,Web Development (Front-End),13  yrs,0  yrs,"R$573,976",344K | 170.9K | 59.1K
CM Hospitalar,"Sao Paulo, SP, Brazil",Jr,Full Stack,2  yrs,2  yrs,"R$72,000",72K | N/A | N/A
AEL Sistemas,"Porto Alegre, RS, Brazil",II,Desktop,7  yrs,7  yrs,"R$132,000",132K | N/A | N/A
BairesDev,"Rio de Janeiro, RJ, Brazil",L3,API Development (Back-End),5  yrs,0  yrs,"R$96,000",96K | N/A | N/A
Harness,"Sao Paulo, SP, Brazil",Senior Software Engineer II,Distributed Systems (Back-End),6  yrs,2  yrs,"R$541,559",490K | 51.6K | N/A
PicPay,"Sao Paulo, SP, Brazil",L4,ML / AI,2  yrs,2  yrs,"R$108,108",108.1K | N/A | N/A
iFood,"Sao Paulo, SP, Brazil",I14,API Development (Back-End),3  yrs,3  yrs,"R$177,600",177.6K | N/A | N/A
