Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
Brex,"Rio de Janeiro, RJ, Brazil",Software Engineer II,Distributed Systems (Back-End),6  yrs,1  yr,"R$575,000",545K | 30K | N/A
Hidden,"Sao Paulo, SP, Brazil",-,API Development (Back-End),2  yrs,0  yrs,"R$100,000",100K | N/A | N/A
Isaac,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$144,000",144K | N/A | N/A
Anonymous,"Curitiba, PR, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$204,000",204K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Full Stack,5  yrs,5  yrs,"R$190,000",150K | 40K | N/A
Startuplandia,"Goiania, GO, Brazil",Senior Software Engineer,Full Stack,9  yrs,4  yrs,"R$637,054",637.1K | N/A | N/A
Venmo,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),7  yrs,3  yrs,"R$300,000",300K | N/A | N/A
Most Specialist T...,"Belo Horizonte, MG, Brazil",6,ML / AI,3  yrs,1  yr,"R$85,500",84K | N/A | 1.5K
Harness,"Sao Paulo, SP, Brazil",Senior Software Engineer II,Distributed Systems (Back-End),6  yrs,2  yrs,"R$560,000",500K | 60K | N/A
Vareto,"Belo Horizonte, MG, Brazil",Senior,Full Stack,12  yrs,0  yrs,"R$469,633",469.6K | N/A | N/A
Caylent,"Sao Paulo, SP, Brazil",L3,DevOps,8  yrs,1  yr,"R$360,484",360.5K | N/A | N/A
USTORE,"Recife, PE, Brazil",-,Full Stack,18  yrs,11  yrs,"R$252,000",252K | N/A | N/A
Volaris Group,"Curitiba, PR, Brazil",Mid,Full Stack,2  yrs,1  yr,"R$48,000",48K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),4  yrs,3  yrs,"R$298,000",215K | 83K | N/A
Clara,"Foz do Iguacu, PR, Brazil",-,Data,7  yrs,1  yr,"R$144,000",144K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),5  yrs,3  yrs,"R$234,000",216K | N/A | 18K
TOOI,"Salvador, BA, Brazil",L1,Web Development (Front-End),2  yrs,1  yr,"R$12,000",12K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$72,000",72K | N/A | N/A
PicPay,"Sao Paulo, SP, Brazil",L4,ML / AI,2  yrs,2  yrs,"R$117,117",108.1K | N/A | 9K
Gympass,"Sao Paulo, SP, Brazil",L4,Web Development (Front-End),8  yrs,2  yrs,"R$268,810",219K | 25.8K | 24K
Equinox Games,"Florianopolis, SC, Brazil",Senior Game Developer,Game Development,10  yrs,1  yr,"R$187,941",187.9K | N/A | N/A
Latitud,"Sao Paulo, SP, Brazil",Staff,Full Stack,8  yrs,3  yrs,"R$360,000",360K | N/A | N/A
PicPay,"Sao Paulo, SP, Brazil",Senior,ML / AI,6  yrs,2  yrs,"R$195,000",180K | N/A | 15K
Anonymous,"Sao Paulo, SP, Brazil",-,N/A,4  yrs,4  yrs,"R$78,000",78K | N/A | N/A
Flex,"Sorocaba, SP, Brazil",L6,Android,9  yrs,5  yrs,"R$219,000",204K | N/A | 15K
SIDIA,"Manaus, AM, Brazil",L2,Full Stack,5  yrs,3  yrs,"R$102,000",90K | N/A | 12K
Gympass,"Sao Paulo, SP, Brazil",L4,Web Development (Front-End),8  yrs,2  yrs,"R$265,738",219K | 25.7K | 21K
Bosch Global,"Sao Paulo, SP, Brazil",EG14,Full Stack,6  yrs,4  yrs,"R$90,000",90K | N/A | N/A
GFT Group,"Sao Paulo, SP, Brazil",Software Engineer,Full Stack,7  yrs,2  yrs,"R$97,333",97.3K | N/A | N/A
Zwift,"Rio de Janeiro, RJ, Brazil",L4,Backend,10  yrs,2  yrs,"R$384,000",384K | N/A | N/A
CI&T,"Sao Paulo, SP, Brazil",Senior,N/A,8  yrs,3  yrs,"R$180,000",180K | N/A | N/A
Digibee,"Sao Paulo, SP, Brazil",4,Distributed Systems (Back-End),11  yrs,0  yrs,"R$357,440",250K | 89.4K | 18K
Avanade,"Recife, PE, Brazil",Senior Consultant,Full Stack,17  yrs,6  yrs,"R$172,800",172.8K | N/A | N/A
ThoughtWorks,"Sao Paulo, SP, Brazil",Lead Consultant,Android,15  yrs,2  yrs,"R$294,300",271.2K | 500 | 22.6K
luizalabs,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),15  yrs,4  yrs,"R$230,000",220K | 10K | N/A
Faire,"Sao Paulo, SP, Brazil",E5,API Development (Back-End),17  yrs,2  yrs,"R$480,000",360K | 120K | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Networking,15  yrs,2  yrs,"R$364,000",264K | 100K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$156,000",156K | N/A | N/A
Hinge Health,"Sao Paulo, SP, Brazil",L5,Mobile (iOS + Android),6  yrs,2  yrs,"R$608,349",412.4K | 195.9K | N/A
Hinge Health,"Fortaleza, CE, Brazil",L2,Mobile (iOS + Android),7  yrs,2  yrs,"R$306,077",306.1K | N/A | N/A
Hypergiant,"Araraquara, SP, Brazil",Staff,Distributed Systems (Back-End),8  yrs,2  yrs,"R$675,655",675.7K | N/A | N/A
Hotmart,"Belo Horizonte, MG, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$321,000",260K | 5K | 56K
Quinto Andar,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$329,000",264K | N/A | 65K
SAP,"Sao Leopoldo, RS, Brazil",T3,Distributed Systems (Back-End),13  yrs,2  yrs,"R$375,947",312K | 12K | 52K
Hinge Health,"Sao Paulo, SP, Brazil",L4,Full Stack,5  yrs,2  yrs,"R$326,000",290K | 36K | N/A
Flurosat,"Sao Paulo, SP, Brazil",3,API Development (Back-End),5  yrs,2  yrs,"R$613,956",614K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L4,Distributed Systems (Back-End),7  yrs,2  yrs,"R$521,000",271K | 250K | N/A
iFood,"Sao Luis, MA, Brazil",I12,Distributed Systems (Back-End),7  yrs,1  yr,"R$194,000",170K | N/A | 24K
NoRedInk,"Sao Paulo, SP, Brazil",Software Engineer II,Full Stack,7  yrs,2  yrs,"R$118,000",118K | N/A | N/A
Avanade,"Sao Paulo, SP, Brazil",Analyst,Testing (SDET),2  yrs,0  yrs,"R$70,800",70.8K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),7  yrs,3  yrs,"R$434,540",264.5K | 170K | N/A
G&P System & Proj...,"Brasilia, DF, Brazil",L3,Full Stack,7  yrs,3  yrs,"R$132,000",132K | N/A | N/A
Inatel,"Patos de Minas, MG, Brazil",L3,DevOps,6  yrs,3  yrs,"R$135,000",135K | N/A | N/A
Genyx Solar,"Belo Horizonte, MG, Brazil",Senior,Full Stack,9  yrs,1  yr,"R$129,420",129.4K | N/A | N/A
Inventa,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$221,000",221K | N/A | N/A
Invillia,"Sao Carlos, SP, Brazil",L3,Full Stack,4  yrs,3  yrs,"R$110,500",102K | N/A | 8.5K
IBM,"Sao Paulo, SP, Brazil",Associate Engineer,Full Stack,3  yrs,2  yrs,"R$51,725",51.7K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",Staff Engineer,Full Stack,6  yrs,3  yrs,"R$146,600",120K | 16K | 10.6K
SAP,"Sao Leopoldo, RS, Brazil",T2,Distributed Systems (Back-End),3  yrs,2  yrs,"R$160,000",140K | N/A | 20K
Cartão Elo,"Sao Paulo, SP, Brazil",Senior,Full Stack,5  yrs,2  yrs,"R$124,000",114K | N/A | 10K
Amazon,"Sao Paulo, SP, Brazil",SDE I,Distributed Systems (Back-End),2  yrs,2  yrs,"R$126,000",96K | 20K | 10K
Deel,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),6  yrs,1  yr,"R$407,947",407.9K | N/A | N/A
Deel,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),6  yrs,1  yr,"R$78,000",78K | N/A | N/A
Pipefy,"Curitiba, PR, Brazil",Staff Software Engineer,Distributed Systems (Back-End),5  yrs,3  yrs,"R$220,000",220K | N/A | N/A
Pagonxt,"Porto Alegre, RS, Brazil",L2,Testing (SDET),3  yrs,2  yrs,"R$89,760",81.6K | N/A | 8.2K
Arquivei,"Sao Carlos, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$120,000",120K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC8,Fintec,15  yrs,4  yrs,"R$1,064,400",596.4K | 450K | 18K
IBM,"Sao Paulo, SP, Brazil",Associate Engineer,Android,10  yrs,2  yrs,"R$84,000",84K | N/A | N/A
Sigtrans,"Rio de Janeiro, RJ, Brazil",L3,Android,8  yrs,3  yrs,"R$120,000",120K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$617,528",617.5K | N/A | N/A
Edata,"Bauru, SP, Brazil",-,Full Stack,4  yrs,1  yr,"R$108,000",108K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Distributed Systems (Back-End),10  yrs,1  yr,"R$251,177",193.2K | 58K | N/A
Microsoft,"Curitiba, PR, Brazil",Senior SDE,Full Stack,15  yrs,3  yrs,"R$330,000",300K | 30K | N/A
Anonymous,"Belo Horizonte, MG, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$376,855",376.9K | N/A | N/A
Arquivei,"Sao Carlos, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$120,000",120K | N/A | N/A
Anonymous,"Porto Alegre, RS, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$205,000",180K | N/A | 25K
Amazon,"Sao Paulo, SP, Brazil",SDE I,Distributed Systems (Back-End),2  yrs,0  yrs,"R$122,400",111K | 5.1K | 6.2K
AgileEngine,"Sao Paulo, SP, Brazil",L2,API Development (Back-End),5  yrs,1  yr,"R$409,854",409.9K | N/A | N/A
PicPay,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),11  yrs,2  yrs,"R$203,684",188K | N/A | 15.7K
Grupo Boticario,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$178,624",150.6K | N/A | 28K
FMD - Geologia Ap...,"Sao Paulo, SP, Brazil",L1,Full Stack,1  yr,1  yr,"R$14,400",14.4K | N/A | N/A
Hinge Health,"Sao Paulo, SP, Brazil",L5,Mobile (iOS + Android),6  yrs,2  yrs,"R$611,877",414.8K | 197K | N/A
Mastercard,"Sao Paulo, SP, Brazil",L6,Full Stack,10  yrs,5  yrs,"R$336,902",311.9K | 25K | N/A
Cadence Design Sy...,"Belo Horizonte, MG, Brazil",Software Engineer I,Hardware Tools,3  yrs,3  yrs,"R$138,000",138K | N/A | N/A
Anonymous,"Florianopolis, SC, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$60,000",42K | N/A | 18K
Shape Digital,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),12  yrs,3  yrs,"R$192,640",182.6K | 10K | N/A
Upwork,"Sao Paulo, SP, Brazil",Senior Software Engineer,Full Stack,7  yrs,1  yr,"R$410,492",410.5K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),7  yrs,3  yrs,"R$326,000",246K | 80K | N/A
Tucows,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),15  yrs,2  yrs,"R$701,289",701.3K | N/A | N/A
ReverseLogix,"Sorocaba, SP, Brazil",Senior,API Development (Back-End),10  yrs,2  yrs,"R$325,598",325.6K | N/A | N/A
luizalabs,"Sao Paulo, SP, Brazil",L4,Distributed Systems (Back-End),3  yrs,2  yrs,"R$209,600",189.6K | N/A | 20K
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$200,000",200K | N/A | N/A
EPAM Systems,"Sao Paulo, SP, Brazil",L3,Full Stack,5  yrs,2  yrs,"R$226,000",216K | N/A | 10K
Hinge Health,"Sao Paulo, SP, Brazil",Senior,Mobile (iOS + Android),6  yrs,2  yrs,"R$622,631",432.3K | 190.3K | N/A
Avaya,"Rio de Janeiro, RJ, Brazil",L1,Distributed Systems (Back-End),7  yrs,0  yrs,"R$162,500",162.5K | N/A | N/A
Tendencias Consul...,"Sao Paulo, SP, Brazil",L2,API Development (Back-End),2  yrs,2  yrs,"R$96,000",96K | N/A | N/A
Serena Energy,"Sao Paulo, SP, Brazil",Senior,Full Stack,9  yrs,2  yrs,"R$225,000",180K | N/A | 45K
GFT Group,"Sao Paulo, SP, Brazil",L2,Distributed Systems (Back-End),5  yrs,2  yrs,"R$79,500",78K | N/A | 1.5K
Amazon,"Sao Paulo, SP, Brazil",SDE II,Distributed Systems (Back-End),5  yrs,4  yrs,"R$355,000",273K | 82K | N/A
VP6,"Belo Horizonte, MG, Brazil",Mid,Full Stack,5  yrs,2  yrs,"R$74,400",74.4K | N/A | N/A
Mindsight,"Sao Paulo, SP, Brazil",L3,Full Stack,2  yrs,1  yr,"R$90,000",90K | N/A | N/A
Education Journey,"Sao Paulo, SP, Brazil",L6,Full Stack,6  yrs,3  yrs,"R$180,000",180K | N/A | N/A
NTT DATA,"Uberlandia, MG, Brazil",Senior Software Engineer,Android,4  yrs,2  yrs,"R$104,000",104K | N/A | N/A
Athelas,"Rio de Janeiro, RJ, Brazil",L3,API Development (Back-End),3  yrs,0  yrs,"R$176,403",176.4K | N/A | N/A
iFood,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$107,490",99.9K | N/A | 7.6K
PagSeguro,"Sao Paulo, SP, Brazil",L3,Testing (SDET),7  yrs,3  yrs,R$144,144 | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$360,000",210K | N/A | 150K
Google,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),3  yrs,0  yrs,"R$293,528",172K | 89.7K | 31.8K
GLOBO,"Rio de Janeiro, RJ, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$231,000",206K | N/A | 25K
SAP,"Sao Leopoldo, RS, Brazil",T2,API Development (Back-End),6  yrs,2  yrs,"R$204,000",150K | 30K | 24K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$168,000",168K | N/A | N/A
Anonymous,"Sao Jose dos Campos, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$91,920",91.9K | N/A | N/A
luizalabs,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),3  yrs,2  yrs,"R$189,600",189.6K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",62,Android,4  yrs,2  yrs,"R$380,769",213.5K | 147.3K | 20K
BTG Pactual,"Sao Paulo, SP, Brazil",L4,Full Stack,4  yrs,4  yrs,"R$265,000",150K | N/A | 115K
El Dorado,"Brasilia, DF, Brazil",L3,Back-end,9  yrs,3  yrs,"R$156,000",156K | N/A | N/A
ADP,"Porto Alegre, RS, Brazil",Associate Software Engineer,API Development (Back-End),2  yrs,2  yrs,"R$66,000",66K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Software Engineer,API Development (Back-End),6  yrs,3  yrs,"R$182,000",168K | N/A | 14K
Microsoft,"Sao Paulo, SP, Brazil",60,Distributed Systems (Back-End),7  yrs,2  yrs,"R$325,350",149.6K | 160K | 15.8K
Accenture,"Sao Paulo, SP, Brazil",10,Web Development (Front-End),6  yrs,3  yrs,"R$125,617",118.6K | N/A | 7K
Vybrant,"Sao Paulo, SP, Brazil",L4,Data,5  yrs,1  yr,"R$168,000",168K | N/A | N/A
UFRJ,"Rio de Janeiro, RJ, Brazil",L1,Research,0  yrs,0  yrs,"R$37,200",37.2K | N/A | N/A
Grupo Boticário,"Sao Paulo, SP, Brazil",Senior,N/A,11+  yrs,11+  yrs,"R$132,000",132K | N/A | N/A
Vigil,"Sao Paulo, SP, Brazil",L3,Full Stack,9  yrs,2  yrs,"R$358,673",358.7K | N/A | N/A
Stefanini Group,"Sao Paulo, SP, Brazil",0000,Web Development (Front-End),1  yr,1  yr,"R$48,000",48K | N/A | N/A
Zig,"Sao Paulo, SP, Brazil",Senior,iOS,8  yrs,1  yr,"R$162,500",162.5K | N/A | N/A
Bluecore,"Sao Paulo, SP, Brazil",Staff,Distributed Systems (Back-End),8  yrs,2  yrs,"R$450,261",450.3K | N/A | N/A
Banco Carrefour,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),5  yrs,4  yrs,"R$154,000",132K | N/A | 22K
Brex,"Sao Paulo, SP, Brazil",Senior Software Engineer,Data,5  yrs,1  yr,"R$820,000",720K | 100K | N/A
Dell Technologies,"Sao Paulo, SP, Brazil",Senior Engineer,Data,15  yrs,3  yrs,"R$165,000",165K | N/A | N/A
Conta Simples,"Sao Paulo, SP, Brazil",-,Web Development (Front-End),7  yrs,3  yrs,"R$183,000",183K | N/A | N/A
PiniOn,"Ribeirao Preto, SP, Brazil",Senior,Full Stack,7  yrs,5  yrs,"R$144,000",144K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Senior Software Engineer,iOS,14  yrs,1  yr,"R$919,025",571.3K | 248.4K | 99.4K
PYYNE Digital,"Sao Paulo, SP, Brazil",Senior Consultant,API Development (Back-End),7  yrs,2  yrs,"R$208,643",208.6K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,API Development (Back-End),12  yrs,0  yrs,"R$280,724",230.4K | 50.3K | N/A
Ubiminds,"Rio de Janeiro, RJ, Brazil",L2,Testing (SDET),3  yrs,1  yr,"R$168,000",168K | N/A | N/A
NTT DATA,"Sao Paulo, SP, Brazil",Senior Software Engineer,Data,3  yrs,1  yr,"R$120,000",120K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$241,468",181.1K | N/A | 60.4K
Amdocs,"Sao Carlos, SP, Brazil",L3,Distributed Systems (Back-End),7  yrs,5  yrs,"R$156,000",144K | N/A | 12K
Amdocs,"Sao Carlos, SP, Brazil",L3,Distributed Systems (Back-End),5  yrs,5  yrs,"R$156,000",144K | N/A | 12K
Quinto Andar,"Belo Horizonte, MG, Brazil",L2,ML / AI,2  yrs,1  yr,"R$164,000",144K | N/A | 20K
Allugator,"Belo Horizonte, MG, Brazil",Senior,Full Stack,3  yrs,3  yrs,"R$178,344",178.3K | N/A | N/A
VTEX,"Rio de Janeiro, RJ, Brazil",L2,N/A,2  yrs,0  yrs,"R$249,820",249.8K | N/A | N/A
Loft,"Recife, PE, Brazil",L2,API Development (Back-End),7  yrs,2  yrs,"R$82,800",82.8K | N/A | N/A
Questrade,"Belo Horizonte, MG, Brazil",L2,Web Development (Front-End),2  yrs,1  yr,"R$60,000",60K | N/A | N/A
Globant,"Sao Paulo, SP, Brazil",Senior 2,API Development (Back-End),5  yrs,2  yrs,"R$216,000",216K | N/A | N/A
Sticker Mule,"Sao Paulo, SP, Brazil",Senior,ML / AI,7  yrs,1  yr,"R$769,107",769.1K | N/A | N/A
PetLove,"Rio de Janeiro, RJ, Brazil",L3,iOS,9  yrs,3  yrs,"R$248,535",248.5K | N/A | N/A
Deal,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),10  yrs,2  yrs,"R$160,800",160.8K | N/A | N/A
Encora,"Campinas, SP, Brazil",Junior,API Development (Back-End),3  yrs,3  yrs,"R$98,000",84K | N/A | 14K
Vonex,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),20  yrs,5  yrs,"R$8,000",8K | N/A | N/A
Invillia,"Fortaleza, CE, Brazil",Mid,Full Stack,1  yr,1  yr,"R$96,000",96K | N/A | N/A
Hinge Health,"Porto Alegre, RS, Brazil",Senior,Full Stack,6  yrs,1  yr,"R$305,000",305K | N/A | N/A
Compass UOL,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),1  yr,1  yr,"R$134,000",130K | N/A | 4K
Nubank,"Sao Paulo, SP, Brazil",IC6,Distributed Systems (Back-End),9  yrs,2  yrs,"R$448,218",326.2K | 104.6K | 17.4K
BairesDev,"Sao Paulo, SP, Brazil",Senior,DevOps,19  yrs,3  yrs,"R$305,594",305.6K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L6,Distributed Systems (Back-End),11  yrs,11  yrs,"R$1,207,437",541.1K | 543.3K | 123K
IBM,"Sao Paulo, SP, Brazil",Staff Engineer,API Development (Back-End),5  yrs,2  yrs,"R$120,000",120K | N/A | N/A
IFMS,"Campo Grande, MS, Brazil",-,Full Stack,15  yrs,12  yrs,"R$110,400",110.4K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",Mid,-,2  yrs,1  yr,"R$144,400",116.4K | N/A | 28K
Loadsmart,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$449,001",446.3K | 2.7K | N/A
Hotmart,"Belo Horizonte, MG, Brazil",Senior,Web Development (Front-End),10  yrs,4  yrs,"R$148,758",148.8K | N/A | N/A
Hotmart,"Belo Horizonte, MG, Brazil",Senior,Web Development (Front-End),10  yrs,4  yrs,"R$148,758",148.8K | N/A | N/A
BairesDev,"Sao Paulo, SP, Brazil",Senior,Full Stack,20  yrs,3  yrs,"R$357,019",357K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",64,DevOps,15  yrs,2  yrs,"R$653,282",445K | 158.3K | 50K
Microsoft,"Recife, PE, Brazil",64,Site Reliability (SRE),15  yrs,2  yrs,"R$580,282",374K | 158.3K | 48K
Uber,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),7  yrs,2  yrs,"R$743,000",432K | 218K | 93K
Uber,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),10  yrs,3  yrs,"R$611,856",414K | 197.9K | N/A
CloudWalk,"Sao Paulo, SP, Brazil",Principal,Distributed Systems (Back-End),20  yrs,1  yr,"R$445,176",445.2K | N/A | N/A
BairesDev,"Salvador, BA, Brazil",L3,Web Development (Front-End),8  yrs,2  yrs,"R$296,784",296.8K | N/A | N/A
Upstart 13,"Sao Paulo, SP, Brazil",L5,Data,5  yrs,1  yr,"R$297,282",297.3K | N/A | N/A
Pismo,"Belo Horizonte, MG, Brazil",L3,Distributed Systems (Back-End),9  yrs,1  yr,"R$180,000",180K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE I,Android,8  yrs,2  yrs,"R$274,000",144K | 50K | 80K
Stone Payments,"Sao Paulo, SP, Brazil",Tech Lead,Data,20  yrs,2  yrs,"R$280,000",270K | N/A | 10K
YipitData,"Curitiba, PR, Brazil",L2,Data,3  yrs,0  yrs,"R$338,232",338.2K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",L3,ML / AI,1  yr,0  yrs,"R$36,000",36K | N/A | N/A
IBM,"Sao Paulo, SP, Brazil",L2,ML / AI,0  yrs,0  yrs,"R$36,000",36K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer I,Distributed Systems (Back-End),1  yr,0  yrs,"R$229,938",184K | 20.4K | 25.5K
Nomad Health,"Sao Paulo, SP, Brazil",L3,Full Stack,8  yrs,2  yrs,"R$455,958",456K | N/A | N/A
Plan A Technologies,"Sao Paulo, SP, Brazil",Software Engineer,API Development (Back-End),7  yrs,0  yrs,"R$252,146",252.1K | N/A | N/A
Sendwave,"Sao Paulo, SP, Brazil",Senior,Full Stack,12  yrs,2  yrs,"R$598,749",598.7K | N/A | N/A
Big Data,"Sao Paulo, SP, Brazil",L1,Data,1  yr,1  yr,"R$24,000",24K | N/A | N/A
Wildlife Studios,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$132,000",132K | N/A | N/A
Ubiminds,"Florianopolis, SC, Brazil",L3,Distributed Systems (Back-End),9  yrs,1  yr,"R$298,278",298.3K | N/A | N/A
Prefeitura de Man...,"Sao Paulo, SP, Brazil",L1,Full Stack,5  yrs,3  yrs,"R$200,000",200K | N/A | N/A
